name,brand,link,rating,votes,genre
Spicebomb Infrared  Eau de Toilette,Viktor & Rolf,https://www.parfumo.com/Perfumes/Viktor_Rolf/spicebomb-infrared-eau-de-toilette,8.1,927,Men
Versace Man Eau Fraîche  Eau de Toilette,Versace,https://www.parfumo.com/Perfumes/Versace/Versace_Man_Eau_Fraiche_Eau_de_Toilette,7.5,1470,Men
Bois du Portugal,Creed,https://www.parfumo.com/Perfumes/Creed/Bois_du_Portugal,7.9,1023,Men
Individuel  Eau de Toilette,Montblanc,https://www.parfumo.com/Perfumes/Montblanc/Individuel_Eau_de_Toilette,7.3,1852,Men
M7 (2011),Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/m7-2011-m7-oud-absolu,7.9,1029,Men
New York Intense,Nicolaï,https://www.parfumo.com/Perfumes/Nicolai/New_York_Intense,8.3,770,Men
Armani Code Parfum,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/armani-code-parfum,7.8,1136,Men
Wanted by Night,Azzaro,https://www.parfumo.com/Perfumes/Azzaro/Wanted_by_Night,7.7,1250,Men
Encre Noire Sport,Lalique,https://www.parfumo.com/Perfumes/Lalique/Encre_Noire_Sport,7.7,1210,Men
Supremacy Collector's Edition,Afnan Perfumes,https://www.parfumo.com/Perfumes/Afnan_Perfumes/supremacy-collector-s-edition,8.2,784,Men
Orage,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/Orage,8.0,970,Men
Gucci pour Homme II  Eau de Toilette,Gucci,https://www.parfumo.com/Perfumes/Gucci/Gucci_pour_Homme_II_Eau_de_Toilette,8.0,891,Men
Colonia Essenza  Eau de Cologne,Acqua di Parma,https://www.parfumo.com/Perfumes/Acqua_di_Parma/Colonia_Essenza_Eau_de_Cologne,7.9,1047,Men
Himalaya,Creed,https://www.parfumo.com/Perfumes/Creed/Himalaya,7.7,1212,Men
Dia Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Dia_for_Men,8.1,832,Men
Valentino Uomo (2014)  Eau de Toilette,Valentino,https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-2014-eau-de-toilette,7.9,1012,Men
Valentino Uomo Born In Roma Intense,Valentino,https://www.parfumo.com/Perfumes/Valentino/valentino-uomo-born-in-roma-intense,7.9,1011,Men
Ameer Al Oudh Intense Oud,Lattafa,https://www.parfumo.com/Perfumes/Lattafa/ameer-al-oudh-intense-oud,7.7,1183,Men
La Nuit de L'Homme Le Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/La_Nuit_de_L_Homme_Le_Parfum,8.0,912,Men
